atom,orbital,r_bohr,R
Ar,1s,0.00023919632574,147.742506153
Ar,1s,0.000240716859757,147.741169006
Ar,1s,0.000242247059573,147.739815182
Ar,1s,0.000243786986632,147.73844448
Ar,1s,0.000245336702769,147.737056693
Ar,1s,0.000246896270212,147.735651613
Ar,1s,0.000248465751584,147.73422903
Ar,1s,0.000250045209906,147.732788731
Ar,1s,0.0002516347086,147.731330502
Ar,1s,0.000253234311491,147.729854125
Ar,1s,0.00025484408281,147.728359379
Ar,1s,0.000256464087196,147.726846042
Ar,1s,0.0002580943897,147.725313889
Ar,1s,0.000259735055784,147.723762692
Ar,1s,0.000261386151328,147.722192221
Ar,1s,0.000263047742631,147.720602242
Ar,1s,0.000264719896413,147.71899252
Ar,1s,0.000266402679817,147.717362818
Ar,1s,0.000268096160416,147.715712893
Ar,1s,0.000269800406208,147.714042502
Ar,1s,0.000271515485627,147.712351398
Ar,1s,0.00027324146754,147.710639333
Ar,1s,0.000274978421253,147.708906054
Ar,1s,0.000276726416512,147.707151306
Ar,1s,0.000278485523506,147.705374832
Ar,1s,0.000280255812871,147.703576371
Ar,1s,0.000282037355692,147.701755659
Ar,1s,0.000283830223505,147.699912429
Ar,1s,0.0002856344883,147.698046413
Ar,1s,0.000287450222528,147.696157338
Ar,1s,0.000289277499097,147.694244928
Ar,1s,0.000291116391381,147.692308905
Ar,1s,0.000292966973218,147.690348986
Ar,1s,0.000294829318917,147.688364888
Ar,1s,0.00029670350326,147.686356323
Ar,1s,0.000298589601502,147.684322999
Ar,1s,0.000300487689379,147.682264621
Ar,1s,0.000302397843107,147.680180894
Ar,1s,0.000304320139386,147.678071515
Ar,1s,0.000306254655405,147.675936182
Ar,1s,0.000308201468844,147.673774586
Ar,1s,0.000310160657873,147.671586417
Ar,1s,0.000312132301165,147.669371361
Ar,1s,0.000314116477887,147.667129101
Ar,1s,0.000316113267714,147.664859315
Ar,1s,0.000318122750824,147.66256168
Ar,1s,0.000320145007908,147.660235868
Ar,1s,0.000322180120167,147.657881548
Ar,1s,0.000324228169319,147.655498385
Ar,1s,0.000326289237603,147.65308604
Ar,1s,0.000328363407779,147.650644172
Ar,1s,0.000330450763134,147.648172435
Ar,1s,0.000332551387483,147.64567048
Ar,1s,0.000334665365177,147.643137955
Ar,1s,0.000336792781099,147.640574502
Ar,1s,0.000338933720675,147.637979762
Ar,1s,0.000341088269873,147.635353369
Ar,1s,0.000343256515206,147.632694958
Ar,1s,0.000345438543739,147.630004155
Ar,1s,0.00034763444309,147.627280586
