atom,orbital,r_bohr,R
Ar,1s,3.2499219396e-05,148.096488433
Ar,1s,3.27058119031e-05,148.096455018
Ar,1s,3.29137176867e-05,148.096421176
Ar,1s,3.31229450952e-05,148.096386904
Ar,1s,3.33335025299e-05,148.096352194
Ar,1s,3.35453984457e-05,148.096317042
Ar,1s,3.3758641351e-05,148.096281442
Ar,1s,3.39732398084e-05,148.096245389
Ar,1s,3.41892024351e-05,148.096208876
Ar,1s,3.44065379027e-05,148.096171897
Ar,1s,3.46252549382e-05,148.096134447
Ar,1s,3.48453623241e-05,148.096096521
Ar,1s,3.50668688985e-05,148.09605811
Ar,1s,3.5289783556e-05,148.096019211
Ar,1s,3.55141152474e-05,148.095979815
Ar,1s,3.57398729807e-05,148.095939918
Ar,1s,3.59670658209e-05,148.095899512
Ar,1s,3.61957028909e-05,148.095858591
Ar,1s,3.64257933713e-05,148.095817149
Ar,1s,3.66573465013e-05,148.095775179
Ar,1s,3.68903715787e-05,148.095732673
Ar,1s,3.71248779604e-05,148.095689627
Ar,1s,3.73608750629e-05,148.095646031
Ar,1s,3.75983723624e-05,148.095601881
Ar,1s,3.78373793956e-05,148.095557167
Ar,1s,3.80779057594e-05,148.095511884
Ar,1s,3.83199611121e-05,148.095466024
Ar,1s,3.85635551732e-05,148.09541958
Ar,1s,3.8808697724e-05,148.095372544
Ar,1s,3.90553986081e-05,148.095324908
Ar,1s,3.93036677316e-05,148.095276666
Ar,1s,3.95535150634e-05,148.095227809
Ar,1s,3.9804950636e-05,148.095178329
Ar,1s,4.00579845456e-05,148.095128219
Ar,1s,4.03126269527e-05,148.095077471
Ar,1s,4.05688880821e-05,148.095026076
Ar,1s,4.08267782238e-05,148.094974027
Ar,1s,4.10863077332e-05,148.094921314
Ar,1s,4.13474870316e-05,148.09486793
Ar,1s,4.16103266063e-05,148.094813865
Ar,1s,4.18748370116e-05,148.094759112
Ar,1s,4.21410288685e-05,148.094703662
Ar,1s,4.24089128658e-05,148.094647505
Ar,1s,4.26784997603e-05,148.094590632
Ar,1s,4.29498003769e-05,148.094533036
Ar,1s,4.32228256096e-05,148.094474705
Ar,1s,4.34975864213e-05,148.094415632
Ar,1s,4.37740938451e-05,148.094355806
Ar,1s,4.40523589837e-05,148.094295218
Ar,1s,4.43323930107e-05,148.094233858
Ar,1s,4.46142071707e-05,148.094171716
